"ID","referee_id","referee_name","country_id"
"1","70001.0","Damir Skomina","1225.0"
"2","70002.0","Martin Atkinson","1206.0"
"3","70003.0","Felix Brych","1208.0"
"4","70004.0","Cuneyt Cakir","1222.0"
"5","70005.0","Mark Clattenburg","1206.0"
"6","70006.0","Jonas Eriksson","1220.0"
"7","70007.0","Viktor Kassai","1209.0"
"8","70008.0","Bjorn Kuipers","1226.0"
"9","70009.0","Szymon Marciniak","1213.0"
"10","70010.0","Milorad Mazic","1227.0"
"11","70011.0","Nicola Rizzoli","1211.0"
"12","70012.0","Carlos Velasco Carballo","1219.0"
"13","70013.0","William Collum","1228.0"
"14","70015.0","Sergei Karasev","1217.0"
"15","70016.0","Pavel Kralovec","1205.0"
"16","70017.0","Svein Oddvar Moen","1229.0"
"17","70018.0","Clement Turpin","1207.0"
"18","70014.0","Ovidiu Hategan","1216.0"
