"ID","match_no","team_id","player_id","booking_time","sent_off","play_schedule","play_half"
"1","1.0","1216.0","160349.0","32.0","","NT","1.0"
"2","1.0","1216.0","160355.0","45.0","","NT","1.0"
"3","1.0","1207.0","160159.0","69.0","Y","NT","2.0"
"4","1.0","1216.0","160360.0","78.0","","NT","2.0"
"5","2.0","1221.0","160470.0","14.0","","NT","1.0"
"6","2.0","1201.0","160013.0","23.0","","NT","1.0"
"7","2.0","1201.0","160013.0","36.0","","NT","1.0"
"8","2.0","1201.0","160014.0","63.0","","NT","2.0"
"9","2.0","1221.0","160472.0","66.0","","NT","2.0"
"10","2.0","1201.0","160015.0","89.0","","NT","2.0"
"11","2.0","1201.0","160009.0","93.0","","NT","2.0"
"12","3.0","1218.0","160401.0","2.0","","ST","2.0"
"13","3.0","1218.0","160406.0","31.0","","NT","1.0"
"14","3.0","1218.0","160408.0","78.0","","NT","2.0"
"15","3.0","1218.0","160411.0","80.0","","NT","2.0"
"16","3.0","1218.0","160407.0","83.0","","NT","2.0"
"17","4.0","1206.0","160120.0","62.0","","NT","2.0"
"18","4.0","1217.0","160377.0","72.0","","NT","2.0"
"19","5.0","1222.0","160505.0","31.0","","NT","1.0"
"20","5.0","1222.0","160490.0","48.0","","NT","2.0"
"21","5.0","1204.0","160077.0","80.0","","NT","2.0"
"22","5.0","1222.0","160502.0","91.0","","NT","2.0"
"23","6.0","1213.0","160290.0","65.0","","NT","2.0"
"24","6.0","1212.0","160258.0","69.0","","NT","2.0"
"25","6.0","1213.0","160284.0","89.0","","NT","2.0"
"26","7.0","1223.0","160518.0","68.0","","NT","2.0"
"27","8.0","1205.0","160100.0","61.0","","NT","2.0"
"28","9.0","1215.0","160336.0","43.0","","NT","1.0"
"29","9.0","1220.0","160445.0","61.0","","NT","2.0"
"30","9.0","1215.0","160341.0","77.0","","NT","2.0"
"31","10.0","1211.0","160236.0","65.0","","NT","2.0"
"32","10.0","1211.0","160248.0","75.0","","NT","2.0"
"33","10.0","1211.0","160235.0","78.0","","NT","2.0"
"34","10.0","1211.0","160245.0","84.0","","NT","2.0"
"35","10.0","1203.0","160057.0","93.0","","NT","2.0"
"36","11.0","1202.0","160027.0","33.0","","NT","1.0"
