"ID","match_no","team_id","player_id","in_out","time_in_out","play_schedule","play_half"
"1","1.0","1207.0","160151.0","I","66.0","NT","2.0"
"2","1.0","1207.0","160160.0","O","66.0","NT","2.0"
"3","1.0","1207.0","160161.0","I","77.0","NT","2.0"
"4","1.0","1207.0","160161.0","O","77.0","NT","2.0"
"5","1.0","1207.0","160157.0","I","2.0","ST","2.0"
"6","1.0","1207.0","160154.0","O","2.0","ST","2.0"
"7","1.0","1216.0","160365.0","I","61.0","NT","2.0"
"8","1.0","1216.0","160366.0","O","61.0","NT","2.0"
"9","1.0","1216.0","160357.0","I","72.0","NT","2.0"
"10","1.0","1216.0","160363.0","O","72.0","NT","2.0"
"11","1.0","1216.0","160364.0","I","82.0","NT","2.0"
"12","1.0","1216.0","160360.0","O","82.0","NT","2.0"
"13","2.0","1201.0","160014.0","I","62.0","NT","2.0"
"14","2.0","1201.0","160019.0","O","62.0","NT","2.0"
"15","2.0","1201.0","160021.0","I","74.0","NT","2.0"
"16","2.0","1201.0","160018.0","O","74.0","NT","2.0"
"17","2.0","1201.0","160022.0","I","82.0","NT","2.0"
"18","2.0","1201.0","160023.0","O","82.0","NT","2.0"
"19","2.0","1221.0","160480.0","I","62.0","NT","2.0"
"20","2.0","1221.0","160481.0","O","62.0","NT","2.0"
"21","2.0","1221.0","160475.0","I","76.0","NT","2.0"
"22","2.0","1221.0","160473.0","O","76.0","NT","2.0"
"23","2.0","1221.0","160474.0","I","88.0","NT","2.0"
"24","2.0","1221.0","160476.0","O","88.0","NT","2.0"
"25","3.0","1218.0","160413.0","I","59.0","NT","2.0"
"26","3.0","1218.0","160412.0","O","59.0","NT","2.0"
"27","3.0","1218.0","160403.0","I","60.0","NT","2.0"
"28","3.0","1218.0","160406.0","O","60.0","NT","2.0"
"29","3.0","1218.0","160410.0","I","83.0","NT","2.0"
"30","3.0","1218.0","160411.0","O","83.0","NT","2.0"
"31","3.0","1224.0","160543.0","I","69.0","NT","2.0"
"32","3.0","1224.0","160541.0","O","69.0","NT","2.0"
"33","3.0","1224.0","160550.0","I","71.0","NT","2.0"
"34","3.0","1224.0","160546.0","O","71.0","NT","2.0"
"35","3.0","1224.0","160537.0","I","88.0","NT","2.0"
"36","3.0","1224.0","160544.0","O","88.0","NT","2.0"
"37","4.0","1206.0","160133.0","I","78.0","NT","2.0"
"38","4.0","1206.0","160136.0","O","78.0","NT","2.0"
"39","4.0","1206.0","160131.0","I","87.0","NT","2.0"
"40","4.0","1206.0","160132.0","O","87.0","NT","2.0"
"41","4.0","1217.0","160386.0","I","77.0","NT","2.0"
"42","4.0","1217.0","160381.0","O","77.0","NT","2.0"
"43","4.0","1217.0","160380.0","I","80.0","NT","2.0"
