"ID","player_id","team_id","jersey_no","player_name","posi_to_play","dt_of_bir","age","playing_club"
"1","160001.0","1201.0","1.0","Etrit Berisha","GK","1989-03-10 00:00:00","27.0","Lazio"
"2","160008.0","1201.0","2.0","Andi Lila","DF","1986-02-12 00:00:00","30.0","Giannina"
"3","160016.0","1201.0","3.0","Ermir Lenjani","MF","1989-08-05 00:00:00","26.0","Nantes"
"4","160007.0","1201.0","4.0","Elseid Hysaj","DF","1994-02-20 00:00:00","22.0","Napoli"
"5","160013.0","1201.0","5.0","Lorik Cana","MF","1983-07-27 00:00:00","32.0","Nantes"
"6","160010.0","1201.0","6.0","Frederic Veseli","DF","1992-11-20 00:00:00","23.0","Lugano"
"7","160004.0","1201.0","7.0","Ansi Agolli","DF","1982-10-11 00:00:00","33.0","Qarabag"
"8","160012.0","1201.0","8.0","Migjen Basha","MF","1987-01-05 00:00:00","29.0","Como"
"9","160017.0","1201.0","9.0","Ledian Memushaj","MF","1986-12-17 00:00:00","29.0","Pescara"
"10","160023.0","1201.0","10.0","Armando Sadiku","FD","1991-05-27 00:00:00","25.0","Vaduz"
"11","160022.0","1201.0","11.0","Shkelzen Gashi","FD","1988-07-15 00:00:00","27.0","Colorado"
"12","160003.0","1201.0","12.0","Orges Shehi","GK","1977-09-25 00:00:00","38.0","Skenderbeu"
"13","160015.0","1201.0","13.0","Burim Kukeli","MF","1984-01-16 00:00:00","32.0","Zurich"
"14","160019.0","1201.0","14.0","Taulant Xhaka","MF","1991-03-28 00:00:00","25.0","Basel"
"15","160009.0","1201.0","15.0","Mergim Mavraj","DF","1986-06-09 00:00:00","30.0","Koln"
"16","160021.0","1201.0","16.0","Sokol Cikalleshi","FD","1990-07-27 00:00:00","25.0","Istanbul Basaksehir"
"17","160006.0","1201.0","17.0","Naser Aliji","DF","1993-12-27 00:00:00","22.0","Basel"
"18","160005.0","1201.0","18.0","Arlind Ajeti","DF","1993-09-25 00:00:00","22.0","Frosinone"
"19","160020.0","1201.0","19.0","Bekim Balaj","FD","1991-01-11 00:00:00","25.0","Rijeka"
"20","160014.0","1201.0","20.0","Ergys Kace","MF","1993-07-08 00:00:00","22.0","PAOK"
"21","160018.0","1201.0","21.0","Odise Roshi","MF","1991-05-22 00:00:00","25.0","Rijeka"
"22","160011.0","1201.0","22.0","Amir Abrashi","MF","1990-03-27 00:00:00","26.0","Freiburg"
"23","160002.0","1201.0","23.0","Alban Hoxha","GK","1987-11-23 00:00:00","28.0","Partizani"
"24","160024.0","1202.0","1.0","Robert Almer","GK","1984-03-20 00:00:00","32.0","Austria Wien"
"25","160036.0","1202.0","2.0","Gyorgy Garics","MF","1984-03-08 00:00:00","32.0","Darmstadt"
"26","160027.0","1202.0","3.0","Aleksandar Dragovic","DF","1991-03-06 00:00:00","25.0","Dynamo Kyiv"
"27","160029.0","1202.0","4.0","Martin Hinteregger","DF","1992-09-07 00:00:00","23.0","Monchengladbach"
